嗯;ńg;межд., выражающее вопрос, удивление;嗯 , 你说什么 ? [ńg, nǐ shuō shénme] — а? что ты сказал?
杀;shā;убивать, умерщвлять;杀敌 [shā dí] — разить врага; 杀死 [shāsǐ] — убить
所;suǒ;место, употребляется как средство субстантивации глагола;住所 [zhúsuǒ] — местожительство; 所得 [suǒde] — то, что получено, доход
正;zhèng;прямой, ровный, прямо, ровно, как раз, именно;画挂得不正 [huà guāde bù zhèng] — картины висят неровно; 三点正 [sāndiǎn zhèng] — ровно три часа
搞;gǎo;делать, заниматься, работать;搞科学工作 [gǎo kēxué gōngzuò] — заниматься научной работой; 搞破坏活动 [gǎo pòhuài huódòng] — заниматься подрывной деятельностью
亲爱;qīn’ài;дорогой, любимый;
宝贝;bǎobèi;драгоценность, сокровище, ребеночек, золотко;
枪;qiāng;пика, копьё, ружьё, винтовка, пистолет;猎枪 [lièqiāng] — охотничье ружьё; 手枪 [shǒuqiāng] — пистолет
如何;rúhé;как, каким образом;
女士;nǚshì;госпожа, мадам, леди;
根;gēn;сч.сл. для длинных предметов, корень;两根筷子 [liǎnggēn kuàizi] — две палочки (для еды); 连根拔掉 [lián gēn bádiào] , — вырвать с корнем
根本;gēnběn;основа, корень, основной, коренной;根本利益 [gēnběn lìyì] — коренные интересы
确定;quèdìng;установить, определить;
兄弟;xiōngdì;братья, братский;
抓;zhuā;[en] to carry in your hand holding strongly; catch; arrest
或许;huòxǔ;может быть, возможно;
救;jiù;спасать, выручать;救出 [jiùchū] — спасти, вызволить
唯一;wéiyī;единственный, единичный;
表现;biǎoxiàn;проявлять(ся), проявление, воплощение;
拍;pāi;хлопать, ударять, снимать, фотографировать;拍肩膀 [pāi jiānbǎng] — хлопать по плечу; 拍电影 [pāi diànyǐng] — снимать кинофильм
呆;dāi;задерживаться, находиться, пребывать, проживать;
绝对;juéduì;абсолютный, категорический, абсолютно;
整个;zhěnggè;целиком, весь, целый, в целом;
处理;chǔlǐ;устраивать, разрешать (проблемы), обработка;处理日常工作 [chǔlǐ rìcháng gōngzuò] — заниматься текущими делами; 热处理 [rè chǔlǐ] — термическая обработка
行动;xíngdòng;двигаться, действовать, действие, акт;行动纲领 [xíngdòng gānglǐng] — программа действий
失去;shīqù;потерять, утратить, лишиться, упустить;
派;pài;группировка, партия, фракция, сч. сл. для ситуаций;反动派 [fǎndòngpài] — реакционеры, реакция; 派新气象 [yī pài xīn qìxiàng] — новая обстановка [картина]
靠;kào;[en] depend on; lean on; near; to trust
作为;zuòwéi;действия, поступки, успехи, достижения;
曾经;céngjīng;в своё время, когда-то, уже;他曾经来过 [tā céngjīng láiguo] — он когда-то уже приходил
总统;zǒngtǒng;президент;
伤害;shānghài;[en] injure; to harm; wound
控制;kòngzhì;контролировать, держать под контролем, контрольный;控制数字 [kòngzhì shùzì] — контрольные цифры; 控制局势 [kòngzhì júshì] — контролировать ситуацию
首;shǒu;[en] head; chief; first; (mw for poems and songs) (Kangxi radical 185)
偷;tōu;[en] steal; pilfer
哈;hā;звукоподражание смеху, ага!;哈哈大笑 [hāhā dàxiào] — громко рассмеяться, расхохотаться
糟糕;zāogāo;дело дрянь, беда, скверно;
保持;bǎochí;сохранять, поддерживать, соблюдать;保持清洁 [bǎochí qīngjié] — поддерживать чистоту; 保持中立 [bǎochí zhōnglì] — сохранять нейтралитет
证据;zhèngjù;доказательство, свидетельство, улика;
事实;shìshí;факт, действительность, фактический;事实上 [shìshíshang] — фактически, на самом деле
家庭;jiātíng;семья, дом, домашний, семейный;家庭妇女 [jiātíng fùnǚ] — домашняя хозяйка, домохозяйка; 家庭出身 [jiātíng chūshēn] — социальное происхождение
装;zhuāng;наряжаться, переодеваться, наряд, одежда, монтировать, собирать;他装老头儿 [tā zhuāng lǎotóur] — он нарядился стариком; 时装 [shízhuāng] — модная одежда
秘密;mìmì;тайна, секрет;
直;zhí;прямой, прямо, вертикальный;直线 [zhíxiàn] — прямая линия; 直行 [zhíháng] — вертикальная строка (китайского текста)
简直;jiǎnzhí;просто, просто-напросто, прямо-таки;
的确;díquè;действительно, в самом деле;
血;xiě;кровь;吐血 [tùxiě] — харкать кровью
方;fāng;квадрат, квадратный, сторона, место;方桌 [fāngzhuō] — квадратный стол; 对方 [duìfāng] — другая сторона
方式;fāngshì;способ, метод, образ действий;
瞧;qiáo;глядеть, смотреть;她瞧了我一眼 [tā qiáole wǒ yī yǎn] — она взглянула на меня; 瞧朋友 [qiáo péngyou] — навестить друга
疯狂;fēngkuáng;бешеный, безумный, оголтелый;
片;piàn;открытка, карточка, ломтик, кусочек, таблетка;名片 [míngpiàn] — визитная карточка; 两片阿司匹林 [liǎng piàn āsīpǐlín] — две таблетки аспирина
记录;jìlù;записывать, протоколировать, протокол, рекорд;世界记录 [shìjiè jìlù] — мировой рекорд
太太;tàitai;госпожа, мадам;
非;fēi;не есть, не является, не-, без-, анти-, де-;这并非小事 [zhè bìng fēi xiǎoshì] — это совсем не мелочь
除非;chúfēi;только в том случае, если, если не…, то, разве только;除非你也去 , 他才会去 [chúfēi nǐ yě qù, tā cái huì qù] — он пойдёт только в том случае, если пойдёшь и ты
傻;shǎ;глупый, дурак;装傻 [zhuāngshǎ] — валять дурака, прикидываться дураком; 作傻事 [zuò shǎshì] — делать глупости
阻止;zǔzhǐ;останавливать, прекращать, препятствовать;
想象;xiǎngxiàng;вообразить, представить (себе), воображение;想象力 [xiǎngxiànglì] — воображение, фантазия
完美;wánměi;совершенный, идеальный, безупречный;完美无缺 [wánměi wú qué] — лучше не бывает, верх совершенства
克;kè;грамм;
目标;mùbiāo;объект, цель;
精神;jīngshén;дух, духовный, моральный, нравственный;精神食粮 [jīngshén shíliáng] — духовная пища
碰;pèng;[en] to touch; to bump; to encounter
系;xì;факультет, привязывать, связывать;系主任 [xì zhǔrèn] — декан факультета; 系马 [xì mǎ] — привязать лошадь
系统;xìtǒng;система, систематический;神经系统 [shénjīng xìtǒng] — нервная система
滚;gǔn;катить, катиться;滚下山去 [gǔnxia shān qù] — скатиться с горы
报告;bàogào;докладывать, доносить, рапортовать, отчитываться;总结报告 [zǒngjié bàogào] — отчётный доклад
人类;rénlèi;человечество, человеческий род;人类学 [rénlèixué] — антропология
冲;chōng;размывать, смывать, мыть, промывать, полоскать;大水冲庄稼了 [dàshuǐ chōng zhuāngjiale] — полая вода смыла посевы; 冲汽车 [chōng qìchē] — мыть автомобиль
自由;zìyóu;свобода, свободный, вольный;言论自由 [yánlùn zìyóu] — свобода слова; 人身自由 [rénshēn zìyóu] — свобода личности
套;tào;чехол, футляр, обёртка, надеть, натянуть, запрячь, заложить;枕头套 [zhěntou tào] — наволочка; 套上毛衣 [tàoshàng máoyī] — надеть шерстяную фуфайку
姑娘;gūniang;девушка;
手术;shǒushù;операция;动手术 [dòng shǒushù] — делать операцию
必要;bìyào;необходимый, нужный, необходимость;必要时 [bìyàoshí] — в случае необходимости
痛苦;tòngkǔ;мучение, страдание, мука, страдать;肉体上的痛苦 [ròutǐshàngde tòngkǔ] — физические страдания
存在;cúnzài;существовать, существование;军事存在 [jūnshì cúnzài] — военное присутствие
组;zǔ;группа, кружок, звено (производственное), бригада;互助组 [hùzhùzǔ] — бригада взаимопомощи; 文娱组 [wényúzǔ] — кружок художественной самодеятельности
以及;yǐjí;а также (и), и;
个人;gèrén;отдельный человек, личность, индивидуум, я, сам, лично, личный;个人崇拜 [gèrén chóngbài] — культ личности; 个人所有权 [gèrén suǒyǒuquán] — личная собственность
代表;dàibiǎo;представитель, делегат, депутат;
意义;yìyì;смысл, значение;
承认;chéngrèn;признавать (напр., ошибку), признавать (напр., новое государство);
理由;lǐyóu;мотив, основание, довод, аргумент;
显然;xiǎnrán;ясно, очевидно, явно;
政府;zhèngfǔ;правительство, правительственный;
幸运;xìngyùn;благосклонная судьба: счастье, везенье, удача;
信任;xìnrèn;доверие, доверять;
未来;wèilái;будущий, будущее;
吓;xià;пугать(ся);
治疗;zhìliáo;лечить, лечение, терапия;
行为;xíngwéi;действия, поступок, акт;行为能力 [xíngwéi nénglì] — дееспособность
婚礼;hūnlǐ;свадьба, свадебный обряд;
组织;zǔzhī;организовать, образовать, сформировать, организация, структура;
老板;lǎobǎn;хозяин, босс;
合作;hézuò;сотрудничать, сотрудничество, кооперация;合作化 [hézuòhuà] — кооперирование
支;zhī;поддерживать, помогать, сч. сл. для предметов в виде стержня;支农 [zhī nóng] — поддерживать сельское хозяйство; 支钢笔 [yī zhī gāngbǐ] — одна ручка
老婆;lǎopó;[en] (informal) wife
可怕;kěpà;страшный, ужасный, страшно;
