就;jiù;именно, как раз, сейчас же, немедленно, тогда, то, в таком случае;就在这里 [jiù zài zhèli] — как раз здесь我就回来 [wǒ jiù huílai] — я сейчас же вернусь
要;yào;хотеть, желать, нужно, необходимо, просить, требовать;我要去看电影 [wǒ yào qù kàn diànyǐng] — я хочу пойти в кино
知道;zhīdao;знать, иметь представление;
吧;ba;выражает побуждение или предположение;你放心吧 [nǐ fàngxīn ba] — успокойся, не беспокойся
到;dào;достигать, прибывать, до;火车到了 [huǐchē dàole] — поезд прибыл到半夜 [dào bànyè] — до полуночи, к полуночи
对;duì; предлог к; в; на; о; по;пара, правильный, верный, правильно!, верно!; 他对我说 [tā duì wǒ shuō] — он сказал мне对这一问题的意见 [duì zhèyī wèntìde yìjiàn] — замечания по этому вопросу;对夫妇 [yīduì fūfù] — супружеская пара作得对 [zuòde duì] — сделано правильно
也;yě;тоже, также, и;我也去 [wǒ yě qù] — я тоже пойду
还;hái; возвратить; вернуть; отдать;ещё, всё ещё; 还书 [huánshū] — вернуть книгу还债 [huánzhài] — отдать [вернуть] долг;还早 [háizǎo] — ещё рано今天比昨天还冷 [jīntiān bǐ zuótiān hái lěng] — сегодня ещё холоднее чем вчера
让;ràng;заставлять, позволять, разрешать, уступать;不要让人等你 [bùyào ràng rén děng nǐ] — не заставляйте людей ждать вас让我想一想 [ràng wǒ xiǎngyīxiǎng] — разрешите мне подумать
给;gěi;давать, предоставлять;他给我一本书 [tā gěi wǒ yīběn shū] — он дал мне книгу给孩子讲个故事 [gěi háizi jiǎngge gùshi] — рассказать ребёнку сказку
过;guō; глагольный суффикс завершённо-многократного вида; суффикс результативно-направленных глаголов;проходить через, переходить, пересекать, отмечать, справлять (о праздниках); 到过 [dàoguo] — бывал, приходилось бывать где-либо他走过铁路线 [tā zǒuguò tiělùxiàn] — он перешёл через железнодорожную линию;过街 [guòjiē] — переходить через улицу过生日 [guò shēngrì] — отмечать [справлять] день рождения
得;de; должно, следует; необходимо;показатель обстоятельства, следующего за сказуемым; 我得去看看 [wǒ děi qù kànkan] — я должен пойти посмотреть;他跑得快 [tā pǎode kuài] — он бежит быстро
真;zhēn;настоящий, истинный, подлинный, достоверный, действительный;这是真事 [zhè shì zhēn shì] — это действительный факт真面目 [zhēn miànmù] — истинное [подлинное] лицо, истинный облик
着;zhe;глагольный суффикс, указывающий на продолженный характер действия или состояния;他们开着会呢 [tāmen kāizhe huì ne] — они на собрании墙上挂着一幅画 [qiáng shang guàzhe yī fú huà] — на стене висит картина
可以;kěyǐ;можно, возможно, дозволено, разрешается;
别;bié;расставаться, разлучатьсяне нужно, нечего, не;别家 [biéjiā] — расстаться с семьёй别动 ! [bié dòng] — не двигаться!, ни с места!
走;zǒu;идти, ходить;你走得太快 [nǐ zǒude tài kuài] — ты идёшь слишком быстро孩子会走了 [háizi huì zǒu le] — ребёнок научился ходить
告诉;gàosu;сказать, сообщить;
因为;yīnwèi;так как, потому что, вследствие того, что, ибо;因为 … 关系 [yīnwèi… guānxi] — по… обстоятельствам, принимая во внимание…因为家庭关系 [yīnwèi jiātíng guānxi] — по семейным обстоятельствам
再;zài;снова, опять, ещё;再说一遍 [zài shuō yī biàn] — сказать ещё раз, повторить
快;kuài;быстрый, скорый, радостный, весёлый;他快回来 [tā kuài huílái] — он скоро вернётся快些 [kuàixiē] — побыстрее!
但是;dànshì;но, однако, тем не менее;
已经;yǐjīng;уже;
为什么;wèishénme;почему, отчего, зачем;
觉得;juéde;чувствовать, ощущать, сознавать;我觉得 [wǒ juéde] — мне кажется, я думаю, по-моему
它;tā;оно, она, он;
从;cóng;из, от, с;从上到下 [cóng shàng dào xià] — сверху донизу从莫斯科到北京 [cóng mòsīkē dào běijīng] — от Москвы до Пекина
找;zhǎo;искать, разыскивать, отыскивать;你找什么东西 [nǐ zhǎo shénme dōngxi] — что вы ищете?
最;zuì;самый, больше всего;最多 [zuìduō] — больше всех, самое большее最低 [zuìdī] — самый низкий, минимальный (напр., о зарплате)
可能;kěnéng;возможно, вероятно;资产阶级领导的东西不可能属于人民大衆 то, что находится под руководством буржуазии, не может относиться к (принадлежать) народным массам
次;cì;следующий, второй, раз;次日 [cìrì] — на следующий [другой] день一天三次 [yītiān sāncì] — три раза в день
出;chū;выходить, выезжать, превышать;出房间 [chū fángjiān] — выйти из комнаты不出三个月 [bùchū sānge yuè] — не более трёх месяцев
孩子;háizi;ребёнок, дитя;
所以;suǒyǐ;потому, таким образом;
两;liǎng;два, пара, оба;两本书 [liǎngběn shū] — две книги
错;cuò;неправильный, ошибочный, ошибаться, ошибочно;我错了 [wǒ cuòle] — я ошибся说错 [shuōcuò] — сказать неправильно, оговориться
等;děng; сорт; класс; разряд; качество; степень;ожидать, ждать; 头等货 [tóuděng huò] — товар высшего сорта; первоклассный товар此等人 [cǐděng rén] — люди такого [подобного] сорта;你等一会 [nǐ děng yīhuì] — подожди немножко
题;tí;тема, вопрос, проблема;话题 [huàtí] — тема разговора考题 [kǎotí] — экзаменационные вопросы
问;wèn;спрашивать, справляться о чём-либо;问路 [wèn lù] — спрашивать дорогу问一个问题 [wèn yīge wèntí] — задать вопрос
问题;wèntí;вопрос, проблема, тема;提问题 [tí wèntí] — задать вопрос
一起;yīqǐ;вместе, совместно, сообща;
开始;kāishǐ;начинать, начало;
时间;shíjiān;время, промежуток времени;没有时间 [méiyǒu shíjiān] — нет времени, некогда
事情;shìqing;дело, событие, инцидент, случай, факт;
一下;yíxià;[en] a little bit/while; one time; once
非常;fēicháng;чрезвычайный, необыкновенный;非常会议 [fēicháng huìyì] — чрезвычайная сессия
希望;xīwàng;надеяться, надежда;
准备;zhǔnbèi;готовить, подготавливать, быть готовым, подготовка;
比;bǐ;сравнивать, в сравнении;比力气 [bǐ lìqì] — помериться силами他比我高 [tā bǐ wǒ gāo] — он выше меня ростом
件;jiàn;сч. сл. для предметов одежды, дел, вещей, документов;两件事 [liǎngjiàn shì] — два дела件工作 [yījiàn gōngzuò] — (одна) работа
意思;yìsi;мысль, идея, смысл, значение, интерес;很有意思 [hěn yǒu yìsi] — очень интересно [занятно]
第一;dìyī;первый, во-первых, первейший, номер один;第一把手 [dìyībǎshǒu] — глава, начальник, первое лицо第一手 [dìyīshǒu] — из первых рук
进;jìn;идти [продвигаться] вперёд, входить;南进 [nánjìn] — двигаться на юг进屋子 [jìn wūzi] — войти в комнату
大家;dàjiā;все, все вместе;
新;xīn;новый, современный, свежий;新书 [xīnshū] — новая книга
您;nín;Вы, Ваш;
穿;chuān;пронзить, пробить, одевать, надевать;穿个洞 [chuānge dòng] — проделать дыру穿衣服 [chuān yīfu] — одеваться, носить одежду [костюм]
送;sòng;посылать, дарить, провожать;送报 [sòngbào] — доставлять газеты送礼物 [sòng lǐwù] — преподнести подарок
玩;wán;играть, забавляться, гулять, развлекаться;玩球 [wán qiú] — играть в мяч出去玩 [chūqu wán] — выйти погулять
长;cháng; расти; вырасти; старший (по возрасту); начальник;длинный, длительный, долгий; ;路很长 [lù hěn cháng] — дорога очень длинная很长的过程 [hěn chángde guòchéng] — очень длительный процесс
小时;xiǎoshí;час;
完;wán;закончить, завершить, кончиться;时间完了 [shíjiān wánle] — время истекло用完 [yòngwán] — до конца использовать [израсходовать]
每;měi;каждый, всякий;每次 [měicì] — каждый раз每天 [měitiān] — каждый день, ежедневно
公司;gōngsī;компания, фирма;
